청구일,종목명,상태,자본금(백만),매출액(백만),당기순이익(백만),주간사,주업종,수요예측일,희망공모가(원),확정공모가,공모금액(백만),예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,공모주일정,희망공모가,청약경쟁률,분석,신규상장일,현재가(원),전일비(%),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원),
2020/05/28,프레스티지바이오파마(유가),상장,0,0,0,삼성증권,자연과학 및 공학 연구개발업,,,,,,,,,,,,,,,,,,,,,,
2020/05/28,빅히트엔터테인먼트(유가),상장,"17,811","587,224","72,424","한국투자증권,엔에이치투자증권",오디오물 출판 및 원판 녹음업,,,,,,,,,,,,,,,,,,,,,,
2020/05/28,앱코,상장,"4,844","84,271","3,474",미래에셋대우,컴퓨터 및 주변장치 제조업,2020.11.17~11.18,"21,400~24,300","24,300","53,649",2020.11.17,"21,400~24,300","24,300","53,649",1141.02:1,3.64%,2020.11.23~11.24,"21,400~24,300",978.13:1,,2020/12/02,"15,050",-9.88%,-38.07%,"30,150",24.07%,"28,900",
2020/05/28,아데나소프트웨어,철회,"1,540","11,848","7,642",한국투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2020/05/26,교보스팩10호,상장,532,0,0,교보증권,기타 금융업,2020.08.31~09.01,"2,000~2,000","2,000","7,500",2020.08.31,"2,000~2,000","2,000","7,500",,-,2020.09.07~09.08,"2,000~2,000",0.17:1,,2020/09/18,"2,120",0.00%,6%,"2,020",1%,"2,005",
2020/05/25,압타머사이언스,상장,"4,463",408,"-3,853",키움증권,자연과학 및 공학 연구개발업,2020.09.02~09.03,"20,000~25,000","25,000","26,000",2020.09.02,"20,000~25,000","25,000","26,000",830.32:1,3.27%,2020.09.07~09.08,"20,000~25,000",1251.29:1,,2020/09/16,"12,800",-6.57%,-48.8%,"28,850",15.4%,"27,750",
2020/05/22,바이브컴퍼니,상장,"2,697","16,298",-777,한국투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2020/05/20,핌스,상장,"3,632","37,783","5,544",DB금융투자,전자부품 제조업,2020.09.02~09.03,"15,000~19,000","19,000","30,000",2020.09.02,"15,000~19,000","19,000","30,000",1210.28:1,4.39%,2020.09.09~09.10,"15,000~19,000",1161.84:1,,2020/09/18,"28,900",-3.99%,52.11%,"21,000",10.53%,"18,300",
2020/05/08,박셀바이오,상장,"3,761",0,"-1,254",하나금융투자,자연과학 및 공학 연구개발업,2020.09.03~09.04,"30,000~35,000","30,000","29,554",2020.09.03,"30,000~35,000","30,000","29,554",94.18:1,11.68%,2020.09.10~09.11,"30,000~35,000",96.44:1,,2020/09/22,"33,850",-5.18%,12.83%,"27,000",-10%,"21,300",
2020/05/08,아이디피,상장,"3,318","23,230","2,916",키움증권,컴퓨터 및 주변장치 제조업,2020.08.06~08.07,"8,800~9,800","9,800","14,080",2020.08.06,"8,800~9,800","9,800","14,080",894:1,7.40%,2020.08.11~08.12,"8,800~9,800",1149.83:1,,2020/08/24,"7,630",-1.80%,-22.14%,"13,200",34.69%,"12,500",
2020/05/07,에이치엠씨아이비스팩4호,상장,431,0,0,현대차증권,기타 금융업,2020.07.15~07.16,"2,000~2,000","2,000","8,000",2020.07.15,"2,000~2,000","2,000","8,000",,-,2020.07.20~07.21,"2,000~2,000",0.68:1,,2020/07/29,"2,080",-0.24%,4%,"2,010",0.5%,"2,000",
2020/05/07,에이치엠씨아이비스팩5호,상장,511,0,0,현대차증권,기타 금융업,2020.12.02~12.03,"2,000~2,000","2,000","10,000",2020.12.02,"2,000~2,000","2,000","10,000",,-,2020.12.07~12.08,"2,000~2,000",0.64:1,,2020/12/16,"2,065",-0.48%,3.25%,"2,000",0%,-,
2020/05/06,미코바이오메드,상장,"8,358","4,098","-13,172",KB증권,의료용 기기 제조업,2020.10.06~10.07,"12,000~15,000","15,000","30,000",2020.10.06,"12,000~15,000","15,000","30,000",159.15:1,0.02%,2020.10.13~10.14,"12,000~15,000",41.74:1,,2020/10/22,"7,390",-6.69%,-50.73%,"16,100",7.33%,"13,700",
2020/05/04,에스엠비나,철회,658,"21,411","2,530",IBK투자증권,봉제의복 제조업,,,,,,,,,,,,,,,,,,,,,,
2020/04/29,이엔드디,상장,"4,676","58,313","6,194",IBK투자증권,기타 화학제품 제조업,,,,,,,,,,,,,,,,,,,,,,
2020/04/28,피엔케이,상장,"3,751","12,499","5,376",미래에셋대우,"기타 전문, 과학 및 기술 서비스업",,,,,,,,,,,,,,,,,,,,,,
2020/04/28,티앤엘,상장,"2,032","32,655","7,286",한국투자증권,의료용품 및 기타 의약 관련제품,2020.11.09~11.10,"34,000~38,000","36,000","27,200",2020.11.09,"34,000~38,000","36,000","27,200",338.91:1,0.41%,2020.11.12~11.13,"34,000~38,000",1109.19:1,,2020/11/20,"37,500",-4.94%,4.17%,"72,000",100%,"54,000",
2020/04/28,브랜드엑스코퍼레이션,상장,"9,531","64,097","7,629","대신증권,삼성증권",기타 정보 서비스업,2020.07.30~07.31,"12,400~15,300","13,000","47,085",2020.07.30,"12,400~15,300","13,000","47,085",47.06:1,-,2020.08.04~08.05,"12,400~15,300",8.54:1,,2020/08/13,"8,440",-3.10%,-35.08%,"12,900",-0.77%,"11,700",
2020/04/24,비비씨,상장,"2,190","19,073","5,653",미래에셋대우,기타 제품 제조업,2020.09.02~09.03,"27,100~30,700","30,700","32,520",2020.09.02,"27,100~30,700","30,700","32,520",977.5:1,3.90%,2020.09.09~09.10,"27,100~30,700",464.19:1,,2020/09/21,"12,750",-3.41%,-58.47%,"27,650",-9.93%,"22,300",
2020/04/23,교촌에프앤비(유가),상장,"12,491","380,091","29,518",미래에셋대우,음·식료품 및 담배 도매업,2020.10.28~10.29,"10,600~12,300","12,300","61,480",2020.10.28,"10,600~12,300","12,300","61,480",999.44:1,3.90%,2020.11.03~11.04,"10,600~12,300",1318.29:1,,2020/11/12,"13,800",-4.83%,12.2%,"23,850",93.9%,"31,000",
